literature_id,parent_literature_id,doi,title,year,topic,role,local_path,data_availability,applicability_to_internal_series,review_status
lau_2024_source_data,lau_2024_article,10.1038/s41467-024-51208-w,"Potassium dependent structural changes in the selectivity filter of HERG potassium channels: source data",2024,hERG structural biology,source data,research/literature/herg/structural_biology/2024_lau_potassium_states/source_data.zip,"archive acquired and tested: 72 raw ABF files plus one seven-sheet summary workbook; no simulation inputs or trajectories","electrophysiology mechanism validation for WT and five mutants; protocol-specific and not a compound-liability dataset",reviewed_and_qc
mavroudis_2023_article,,10.3389/fsysb.2023.1180948,"Application of machine learning in combination with mechanistic modeling to predict plasma exposure of small molecules",2023,rat PK hybrid ML mechanistic,article,research/literature/pk/hybrid_ml_mechanistic/2023_mavroudis_rat_iv/article.pdf,"article attached; proprietary raw data unavailable","architecture and failure-mode precedent; small-molecule IV not direct calibration",reviewed
mavroudis_2023_si,mavroudis_2023_article,10.3389/fsysb.2023.1180948,"Application of machine learning in combination with mechanistic modeling: supplementary material",2023,rat PK hybrid ML mechanistic,supplementary material,research/literature/pk/hybrid_ml_mechanistic/2023_mavroudis_rat_iv/supplementary_material.pdf,"figures/tables attached; no reusable structures or profiles","method/hyperparameter audit only",reviewed
poongavanam_2022_article,,10.1021/acs.jmedchem.2c00877,"Linker-Dependent Folding Rationalizes PROTAC Cell Permeability",2022,bRo5 permeability folding,article,research/literature/pk/permeability_bro5/2022_poongavanam_protac_folding/article.pdf,"article attached","direct size-regime mechanistic precedent; only three related PROTACs",reviewed
poongavanam_2022_methods,poongavanam_2022_article,10.1021/acs.jmedchem.2c00877,"Linker-Dependent Folding Rationalizes PROTAC Cell Permeability: supplementary methods",2022,bRo5 permeability folding,supplementary methods,research/literature/pk/permeability_bro5/2022_poongavanam_protac_folding/supplementary_methods.pdf,"methods/tables/figures attached","environment-conditioned conformer and assay precedent",reviewed
poongavanam_2022_assay_data,poongavanam_2022_article,10.1021/acs.jmedchem.2c00877,"Linker-Dependent Folding Rationalizes PROTAC Cell Permeability: assay dataset",2022,bRo5 permeability folding,supplementary dataset,research/literature/pk/permeability_bro5/2022_poongavanam_protac_folding/assay_data.csv,"three-compound dataset attached; PROTAC-1 efflux conflicts with PDF","mechanistic validation only; conflicting values preserved",reviewed_conflict_preserved
qi_2025_article,,10.1021/acs.jpcb.5c05445,"Probing Passive Permeation of Tetracycline: Are Simulations Ready for Beyond-Rule-of-Five Drug Permeability Calculation?",2025,bRo5 membrane permeation,article,research/literature/pk/permeability_bro5/2025_qi_tetracycline_permeation/article.pdf,"article attached; raw PMFs/trajectories/code unavailable","rare-state/PMF/hysteresis method precedent; tetracycline is below internal MW regime",reviewed
qi_2025_si,qi_2025_article,10.1021/acs.jpcb.5c05445,"Probing Passive Permeation of Tetracycline: supplementary methods",2025,bRo5 membrane permeation,supplementary methods,research/literature/pk/permeability_bro5/2025_qi_tetracycline_permeation/supplementary_methods.pdf,"tables/figures attached; simulation inputs absent","convergence and patch-size acceptance precedent",reviewed
jia_2025_article,,10.1021/acs.jmedchem.5c00340,"Application of Machine Learning and Mechanistic Modeling to Predict Intravenous Pharmacokinetic Profiles in Humans",2025,human IV hybrid ML mechanistic,article,,"article not local; public workbook and SI acquired","external human-IV architecture; not direct rat or bRo5 calibration",missing_article
jia_2025_dataset,jia_2025_article,10.1021/acs.jmedchem.5c00340,"Application of Machine Learning and Mechanistic Modeling to Predict Intravenous Pharmacokinetic Profiles in Humans: modeling datasets",2025,human IV hybrid ML mechanistic,supplementary dataset,research/literature/pk/hybrid_ml_mechanistic/2025_jia_human_iv/supplementary_dataset.xlsx,"nine-sheet modeling workbook acquired; raw concentration-time profiles absent","property-model reproduction and external split/QC precedent",reviewed_and_qc
jia_2025_si,jia_2025_article,10.1021/acs.jmedchem.5c00340,"Application of Machine Learning and Mechanistic Modeling to Predict Intravenous Pharmacokinetic Profiles in Humans: supporting information",2025,human IV hybrid ML mechanistic,supplementary information,research/literature/pk/hybrid_ml_mechanistic/2025_jia_human_iv/supplementary_information.pdf,"12-page SI acquired; article and executable workflow absent","hybrid/hierarchical model and uncertainty precedent",reviewed
kim_2025_article,,10.1021/acs.jcim.5c01600,"Enhancing Permeability Prediction of Heterobifunctional Degraders Using Machine Learning and Metadynamics-Informed 3D Molecular Descriptors",2025,bRo5 degrader permeability,article,,"article not local; SI and PDF dataset acquired","direct conformer-ensemble/permeability precedent; small mixed-source dataset",missing_article
kim_2025_dataset,kim_2025_article,10.1021/acs.jcim.5c01600,"Enhancing Permeability Prediction of Heterobifunctional Degraders: supplementary dataset",2025,bRo5 degrader permeability,supplementary dataset,research/literature/pk/permeability_bro5/2025_kim_metadynamics_3d/dataset.pdf,"32-compound table acquired as PDF rendering; original DOCX/CSV absent","mechanistic external benchmark; not lossless machine-readable training data",reviewed_and_qc
kim_2025_si,kim_2025_article,10.1021/acs.jcim.5c01600,"Enhancing Permeability Prediction of Heterobifunctional Degraders: supporting information",2025,bRo5 degrader permeability,supplementary information,research/literature/pk/permeability_bro5/2025_kim_metadynamics_3d/supplementary_information.pdf,"48-page SI acquired; trajectories, conformers, code, and split artifacts absent","3D descriptor, metadynamics, and model-ablation precedent",reviewed
price_2025_article,,10.1021/acs.jmedchem.5c00536,"Explainable Machine Learning for ETR and Drug Chameleonicity",2025,bRo5 chameleonicity,article,,"article not local; figure-level SI acquired","experimental/learned chameleonicity precedent pending full definition",missing_article
price_2025_si,price_2025_article,10.1021/acs.jmedchem.5c00536,"Explainable Machine Learning for ETR and Drug Chameleonicity: supporting information",2025,bRo5 chameleonicity,supplementary information,research/literature/pk/permeability_bro5/2025_price_etr/supplementary_information.pdf,"four-page figure-only SI acquired; row-level data and methods absent","hypothesis and validation-design precedent only",reviewed_from_supplement_only
miyashita_2024_8zyn_coordinate,miyashita_2024_article,10.1016/j.str.2024.08.021,"RCSB PDB 8ZYN: inhibitor-free hERG deposited coordinate model",2024,hERG structural biology,structure coordinate,research/literature/herg/structural_biology/2024_miyashita_inhibitor_bound/8ZYN.cif,"RCSB PDBx/mmCIF acquired; entry identity and complete atom_site table validated","raw receptor hypothesis only; biological assembly and simulation preparation remain pending",reviewed_and_qc
miyashita_2024_8zyo_coordinate,miyashita_2024_article,10.1016/j.str.2024.08.021,"RCSB PDB 8ZYO: astemizole-bound hERG deposited coordinate model",2024,hERG structural biology,structure coordinate,research/literature/herg/structural_biology/2024_miyashita_inhibitor_bound/8ZYO.cif,"RCSB PDBx/mmCIF acquired; entry identity and complete atom_site table validated","raw receptor and deposited ligand-pose hypothesis only; preparation remains pending",reviewed_and_qc
miyashita_2024_8zyp_coordinate,miyashita_2024_article,10.1016/j.str.2024.08.021,"RCSB PDB 8ZYP: E-4031-bound hERG deposited coordinate model",2024,hERG structural biology,structure coordinate,research/literature/herg/structural_biology/2024_miyashita_inhibitor_bound/8ZYP.cif,"RCSB PDBx/mmCIF acquired; entry identity and complete atom_site table validated","raw receptor and deposited ligand-pose hypothesis only; preparation remains pending",reviewed_and_qc
miyashita_2024_8zyq_coordinate,miyashita_2024_article,10.1016/j.str.2024.08.021,"RCSB PDB 8ZYQ: pimozide-bound hERG deposited coordinate model",2024,hERG structural biology,structure coordinate,research/literature/herg/structural_biology/2024_miyashita_inhibitor_bound/8ZYQ.cif,"RCSB PDBx/mmCIF acquired; entry identity and complete atom_site table validated","raw receptor and deposited ligand-pose hypothesis only; preparation remains pending",reviewed_and_qc
lau_2024_9chp_coordinate,lau_2024_article,10.1038/s41467-024-51208-w,"RCSB PDB 9CHP: high-potassium C4 hERG deposited coordinate model",2024,hERG structural biology,structure coordinate,research/literature/herg/structural_biology/2024_lau_potassium_states/9CHP.cif,"RCSB PDBx/mmCIF acquired; entry identity and complete atom_site table validated","raw filter-state receptor hypothesis; ion and system preparation remain pending",reviewed_and_qc
lau_2024_9chq_coordinate,lau_2024_article,10.1038/s41467-024-51208-w,"RCSB PDB 9CHQ: low-potassium C4 hERG deposited coordinate model",2024,hERG structural biology,structure coordinate,research/literature/herg/structural_biology/2024_lau_potassium_states/9CHQ.cif,"RCSB PDBx/mmCIF acquired; entry identity and complete atom_site table validated","raw filter-state receptor hypothesis; ion and system preparation remain pending",reviewed_and_qc
mathiowetz_2012_bro5_3d,,10.1021/ci300010y,"Use of 3D Properties to Characterize Beyond Rule-of-5 Property Space for Passive Permeation",2012,bRo5 permeability physics,external primary precedent,,"article and public SI identified; not acquired locally","establishes that Rg 3D PSA and dehydration-energy families are not novel",reviewed_external_primary
witek_2017_cyclosporine_rates,,10.1002/cphc.201700995,"Interconversion Rates between Conformational States as Rationale for the Membrane Permeability of Cyclosporines",2017,bRo5 conformational kinetics,external primary precedent,,"article identified; not acquired locally","direct matched-compound precedent for transition rates beyond static ensembles",reviewed_external_primary
di_kerns_2008_book,,,"Drug-like Properties: Concepts Structure Design and Methods: From ADME to Toxicity Optimization",2008,foundational drug disposition,book,research/literature/foundational/2008_di_kerns_drug_like_properties/,"three supplied chapter extracts local; complete book not ingested","biological process architecture and historical context; numerical rules require current primary evidence",reviewed_selected_chapters
di_kerns_2008_ch03,di_kerns_2008_book,,"Barriers to Drug Exposure in Living Systems",2008,foundational PK biology,book chapter,research/literature/foundational/2008_di_kerns_drug_like_properties/chapter_03_barriers_to_drug_exposure.pdf,"chapter supplied by Dr. Aguilar","barrier coupling and causal process decomposition",reviewed
di_kerns_2008_ch16,di_kerns_2008_book,,"hERG Blocking",2008,hERG medicinal chemistry,book chapter,research/literature/foundational/2008_di_kerns_drug_like_properties/chapter_16_herg_blocking.pdf,"chapter supplied by Dr. Aguilar; internal oxygen-HBA advice contradiction preserved","historical pharmacophore and safety-margin context only; superseded by modern structural and kinetic evidence",reviewed_with_contradiction
di_kerns_2008_ch19,di_kerns_2008_book,,"Pharmacokinetics",2008,foundational PK biology,book chapter,research/literature/foundational/2008_di_kerns_drug_like_properties/chapter_19_pharmacokinetics.pdf,"chapter supplied by Dr. Aguilar","PK process definitions and algebraic lineage of CL and F",reviewed
price_2024_polarity_reducers,,10.1021/acs.jmedchem.3c02332,"Beyond Rule of Five and PROTACs in Modern Drug Discovery: Polarity Reducers Chameleonicity and the Evolving Physicochemical Landscape",2024,bRo5 absorption and polarity,article,research/literature/pk/permeability_bro5/2024_price_polarity_reducers/article.pdf,"article supplied by Dr. Aguilar; SI and internal row-level data absent","large industrial mechanistic precedent; ETR is a portfolio-conditioned comparator not a universal causal feature",reviewed_with_external_falsification
schade_2024_oral_protacs,,10.1021/acs.jmedchem.4c01017,"Structural and Physicochemical Features of Oral PROTACs",2024,bRo5 oral PK and exposed hydrogen bonds,article,research/literature/pk/permeability_bro5/2024_schade_oral_protacs/article.pdf,"article supplied by Dr. Aguilar; SI raw NMR and raw PK absent","direct MW-regime precedent for site-specific shielding species variability and extended oral conformations",reviewed
lemanach_2026_oral_guidelines,,10.1021/acsmedchemlett.6c00043,"Evaluation of Oral PROTAC Guidelines: Efflux Ratio Outweighs Chameleonicity Descriptors",2026,bRo5 absorption and efflux,external primary precedent,,"open article and public PDF/XLSX SI identified; not yet local","cross-portfolio falsification of universal ETR/chameleonicity rules and direct support for transporter competition",reviewed_external_primary
drughunter_2024_herg_summary,,,"Med Chem Strategies to Master hERG and Mitigate Cardiotoxicity Risks",2024,hERG medicinal chemistry,secondary industry context,,"linked by Dr. Aguilar; public recap and slide PDF identified","industry prioritization context only; every scientific claim requires primary-source support",context_only
rossi_2018_dynamic_polarity,,10.1021/acs.jmedchem.8b00347,"Impact of Dynamically Exposed Polarity on Permeability and Solubility of Chameleonic Drugs beyond the Rule of 5",2018,bRo5 exposed polarity,external primary precedent,,"article and public SI identified; not acquired locally","establishes minimum/dynamically exposed 3D polarity precedent",reviewed_external_primary
barlow_2020_hbd_masking,,10.1021/acschembio.0c00218,"Improving Membrane Permeation in the Beyond Rule-of-Five Space by Using Prodrugs to Mask Hydrogen Bond Donors",2020,bRo5 hydrogen-bond physics,external primary precedent,,"article and public SI identified; not acquired locally","intervention evidence that donor and acceptor burdens must not be combined indiscriminately",reviewed_external_primary
kamenik_2023_membrane_path,,10.1021/acs.jmedchem.2c01837,"Lessons for Oral Bioavailability: How Conformationally Flexible Cyclic Peptides Enter and Cross Lipid Membranes",2023,bRo5 membrane transition dynamics,external primary precedent,,"article and public SI identified; not acquired locally","stepwise anchoring orientation closure crossing and release precedent",reviewed_external_primary
escobar_2024_dynamic_herg,,10.1016/j.cmpb.2024.108293,"Experimentally validated modeling of dynamic drug-hERG channel interactions reproducing the binding mechanisms and its importance in action potential duration",2024,hERG binding kinetics,external primary precedent,,"free article identified; raw traces and protocol package not local","direct validation of state-dependent binding onset and trapping architecture",reviewed_external_primary
matsson_2025_protac_membrane,,10.1021/acs.jmedchem.5c01499,"Conformational Dynamics in the Cell Membrane Interactions of Bispecific Targeted Degrader Therapeutics",2025,bRo5 PROTAC membrane physics,external primary precedent,,"CC-BY article and two SI assets identified; not acquired locally","large-scale evidence for depth-conditioned orientation interface trapping and core/release barriers",reviewed_external_primary
automated_herg_2025_107686,,10.1016/j.vascn.2025.107686,"Modeling of dynamic drug-HERG channel interactions reproducing preferential state-dependent binding and trapping properties using simple voltage clamp protocols and an automated high-throughput system",2025,hERG assay kinetics,external primary precedent,,"article identified; protocol scripts and raw traces not local","defines identifiable dynamic hERG parameters beyond IC50",reviewed_external_primary
tyagi_2026_macrocycle_pairs,,10.1021/acs.jmedchem.6c00830,"What Is in a Structure? Cell Permeability and Solubility of Series of Macrocycles and Linear Matched Pairs",2026,bRo5 matched-pair permeability,external primary precedent,,"article and CSV/PDF SI identified; not acquired locally","matched-pair evidence against compactness as a universal permeability cause",reviewed_external_primary
brenner_2026_protac_assays,,10.1021/acs.molpharmaceut.5c01908,"Assays for Measuring the Cell Permeability of Proteolysis-Targeting Chimeras: Performance Correlations Applicability and Recommendations",2026,bRo5 permeability assays,external primary precedent,,"article identified; local asset package not acquired","3271-PROTAC assay-domain and observation-model evidence",reviewed_external_primary
