PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.185 uM,Total_Fluorescence-Activity at 0.370 uM,Total_Fluorescence-Activity at 0.739 uM,Total_Fluorescence-Activity at 1.479 uM,Total_Fluorescence-Activity at 2.959 uM,Total_Fluorescence-Activity at 5.916 uM,Total_Fluorescence-Activity at 11.83 uM,Total_Fluorescence-Activity at 23.66 uM,Total_Fluorescence-Activity at 47.32 uM,Total_Fluorescence-Activity at 94.62 uM,Total_Fluorescence-Activity at 143.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.185 uM,FP-Activity at 0.370 uM,FP-Activity at 0.739 uM,FP-Activity at 1.479 uM,FP-Activity at 2.959 uM,FP-Activity at 5.916 uM,FP-Activity at 11.83 uM,FP-Activity at 23.66 uM,FP-Activity at 47.32 uM,FP-Activity at 94.62 uM,FP-Activity at 143.8 uM,FP-Activity at 287.5 uM,Compound QC
6,24796505,2815256,COC1=CC=CC(=C1)NC(=O)N2CCCC3=CC=CC=C32,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,18.185,,,,,,,,,,-3.0357,-2.4105,-1.22,1.1307,3.2118,3.2108,4.007,0.7921,0.9559,5.5239,11.2435,18.185,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,18.1818,,,,,,,,,,-14.5455,-8.1818,-6.9697,4.5455,-2.4242,-3.7879,3.4848,13.3333,-2.4242,4.697,-0.9091,18.1818,,,QC'd by ChemBridge
7,16952949,2868128,CCOC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4OC3=O)C5=C(N2)C=CC6=CC=CC=C65,Inconclusive,20,,,Inhibitor,28.2508,50.2576,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0,17.5396,,,,,,,,,,-2.8703,-2.1477,-2.2802,-0.9881,0.5575,2.6264,1.969,4.9975,0.9424,-9.6742,-1.4177,17.5396,,,Complete curve; partial efficacy,-4.549,4.9549,0.9568,-50.2727,-0.0152,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-42.7273,,,,,,,,,,-5.303,-0.7576,-0.7576,0,2.8788,0.6061,-3.6364,3.1818,0.303,-25,-56.9697,-42.7273,,,QC'd by DPISMR
8,24826778,135439862,CCC1=CC=C(C=C1)NC(=O)CSC2=NC(=CC(=O)N2C3CCCC3)O,Inconclusive,21,,,Inhibitor,70.9627,56.8788,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.6233,,,,,,,,,,1.7245,0.7833,0.1681,3.0028,4.0184,3.105,3.1608,2.3967,3.9518,2.1908,-0.8231,-6.6233,,,Partial curve; partial efficacy,-4.149,4.9549,0.9004,-59.1818,-2.303,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-54.5455,,,,,,,,,,-2.5758,-1.6667,1.2121,2.8788,-8.0303,1.8182,-4.8485,3.4848,-14.3939,0.1515,-16.6667,-54.5455,,,QC'd by Enamine
9,17411966,5731085,CC(=O)C1=CC(=CC=C1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C\C(=O)C3=CC=C(C=C3)F,Inconclusive,20,,,Inhibitor,22.4404,49.8333,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-5.7066,,,,,,,,,,1.3678,-1.6502,0.3685,1.3464,3.3115,2.0397,0.6757,-1.3302,-5.146,-9.5608,-17.8952,-5.7066,,,Complete curve; partial efficacy,-4.649,2.1876,0.9247,-43.3333,6.5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-37.7273,,,,,,,,,,16.6667,3.7879,3.4848,3.1818,3.4848,12.1212,1.0606,2.7273,-9.8485,-19.697,-45.4545,-37.7273,,,QC'd by DPISMR
10,49724792,4089709,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O,Inconclusive,10,,,Quencher,125.892,51.5471,,Partial curve; partial efficacy,-3.9,2.5334,0.9822,-53.6142,-2.0671,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-49.6428,,,,,,,,,,,,-6.4596,-3.3323,-1.6366,-2.2664,-1.8425,-0.7787,-1.3386,-0.548,-2.9504,-13.6644,-28.8783,-49.6428,Partial curve; partial efficacy; poor fit,-3.9,1.2475,0.881,-45.3636,4,-2.4,0 0 0 0 0 0 0 0 0 0 0 0,-34.6202,,,,,,,,,,,,2.2416,13.5741,4.7323,2.1171,3.6115,-2.9888,-3.3624,6.3512,-5.1059,-13.2005,-19.5517,-34.6202,QC'd by Enamine
11,49675221,3286268,CC1=C(C=C(C=C1)S(=O)(=O)N(C)C)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC(=C(C(=C4)OC)OC)OC,Inactive,0,,,Activator,141.254,40.3138,,,,,,,,4,,4.6031,,,,,,,,,,,,2.1135,2.4798,1.9441,2.1616,3.6057,1.8546,-0.6443,2.3125,1.8417,-0.7769,-1.319,4.6031,Partial curve; partial efficacy,-3.85,3.0654,0.9225,37.2441,-3.0697,2.2,0 0 0 0 0 0 0 0 0 0 0 0,39.2279,,,,,,,,,,,,-3.3624,1.3699,-5.2304,2.1171,-6.7248,-5.4795,-4.8568,-4.3587,-1.4944,4.9813,13.5741,39.2279,QC'd by Enamine
12,24785969,2884333,CC1=C(SC=[N+]1CC2=CC=C(C=C2)[N+](=O)[O-])CCOC(=O)CC34CC5CC(C3)CC(C5)(C4)C.[Br-],Inconclusive,20,,,Inhibitor,158.489,42.9807,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,0.5465,,,,,,,,,,,,-0.215,0.5662,-0.5383,0.9252,2.4844,2.5247,2.1717,5.5562,6.9923,10.1607,6.5263,0.5465,Partial curve; partial efficacy; poor fit,-3.8,2.2526,0.8069,-47.7609,-4.7802,-2.4,0 0 0 0 0 0 0 0 0 0 0 0,-46.8244,,,,,,,,,,,,-8.9664,5.9776,-2.3661,-6.9738,-7.0984,-4.7323,-9.4645,-13.5741,-4.7323,-6.9738,-18.4309,-46.8244,QC'd by ChemBridge
13,856423,54679522,CCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=CC=CC=C3C(=O)OCC)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-12.3197,,,,,,,,,,,,2.5736,3.6721,-0.4583,6.8675,4.0426,2.5587,4.0011,0.5046,0.8086,-12.9663,-17.1037,-12.3197,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,21.7933,,,,,,,,,,,,-0.8717,-0.8717,0.3736,-3.9851,-5.3549,-10.3362,0.8717,0.1245,3.4869,-10.9589,10.2117,21.7933,QC'd by DPISMR
14,24779843,2497032,C1=CSC(=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)OCC(=O)NC3=NC4=C(S3)C=C(C(=C4F)F)F,Active,42,,,Inhibitor,14.1589,113.223,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0,20.0704,,,,,,,,,,0.6374,-0.1896,0.3297,0.4489,1.2964,0.0861,0.8975,-1.6724,-11.9159,18.9119,23.4231,20.0704,,,Partial curve; high efficacy,-4.849,3.0654,0.9807,-105.682,7.5409,-2.1,0 0 0 0 0 0 0 0 0 0 1 1,9.3939,,,,,,,,,,13.0303,13.0303,7.7273,5.6061,6.3636,-3.1818,3.9394,0.6061,-49.8485,-94.697,7.1212,9.3939,,,QC'd by Enamine
15,14737247,3643101,C1C(CC(=O)C2=C1OC(=C(C2C3=CC=C(C=C3)OCC4=C(C=CC=C4Cl)F)C#N)N)C5=CC=CO5,Inactive,0,,,Activator,251.189,85.5554,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,24.7414,,,,,,,,,,,,-7.053,-7.7047,-8.8578,-2.3293,-2.1012,-0.159,0.0414,-4.7161,-3.1112,-8.0263,12.9359,24.7414,Single point of activity,-3.6,3.9295,0.7498,85.543,-0.0125,3,0 0 0 0 0 0 0 0 0 0 0 0,66.6252,,,,,,,,,,,,-3.4869,7.3474,4.8568,9.9626,-1.6189,4.8568,6.9738,-5.7285,5.4795,-19.0535,-9.8381,66.6252,QC'd by DPISMR
16,17416281,2967728,CCOC1=C(C=CC(=C1)CNCCC2=CC=C(C=C2)S(=O)(=O)N)OCC3=CC=CC=C3.Cl,Active,82,,,Inhibitor,70.7946,98.058,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0,11.2106,,,,,,,,,,7.3182,7.7116,6.4688,4.3965,5.9888,4.3952,5.1163,5.1525,5.2859,4.973,32.2072,11.2106,,,Complete curve; high efficacy,-4.15,1.8265,0.9856,-108.478,-10.4197,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-96.1681,,,,,,,,,,,,-8.2818,-4.8208,-10.3832,-10.6304,-13.1026,-10.0124,-16.6873,-17.6761,-34.1162,-55.6242,-95.4265,-96.1681,QC'd by DPISMR
17,49680704,16245491,CC(=O)C1=CC(=CC=C1)OCC(CNCC2COC3=CC=CC=C3O2)O.C(=O)(C(=O)O)O,Inconclusive,10,,,Fluorescent,56.3677,45.6002,,Partial curve; partial efficacy,-4.249,1.4487,0.9366,40.2933,-5.307,2.2,0 0 0 0 0 0 0 0 0 0 0 0,30.9136,,,,,,,,,,-8.8483,-9.453,-6.6944,-5.3641,-3.134,-1.9986,0.517,-0.3515,0.3276,5.2736,15.6581,30.9136,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0,27.7361,,,,,,,,,,4.9475,-14.6927,4.1979,-1.6492,-2.099,6.8966,1.6492,4.1979,7.7961,12.2939,25.937,27.7361,,,QC'd by Enamine
18,24783372,2478762,CC1=C(OC2=C1C=CC3=CC=CC=C32)C(=O)OCC(=O)NC4=CC=C(C=C4)S(=O)(=O)N,Inactive,0,,,Activator,251.189,87.9815,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,22.3043,,,,,,,,,,-5.7183,-4.9801,-3.6873,-3.1989,-1.1835,-0.5611,-0.7594,0.0965,-0.6644,0.7635,-1.7813,22.3043,,,Single point of activity,-3.6,3.99,0.8066,81.7143,-6.2672,3,0 0 0 0 0 0 0 0 0 0 0 0,62.069,,,,,,,,,,,,-2.8325,-8.0049,-1.8473,5.665,-8.6207,-6.7734,-12.6847,-1.601,-7.1429,-4.4335,-20.0739,62.069,QC'd by Enamine
19,22402181,1585282,COC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NN=C(S3)N,Inconclusive,20,,,Inhibitor,35.4813,32.1273,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 0,17.869,,,,,,,,,,-4.3267,-2.4878,-0.3561,-1.9835,0.8259,-0.9909,9.6806,0.9808,-0.9146,5.3224,21.1219,17.869,,,Complete curve; partial efficacy; poor fit,-4.45,4.9549,0.8777,-34.3986,-2.2713,-1.4,0 0 0 0 0 0 0 0 0 0 0 0,-25.5871,,,,,,,,,,,,-4.5735,0.2472,-3.3375,-0.618,-8.7763,-2.4722,2.5958,-4.6972,-15.9456,-45.1174,-33.0037,-25.5871,QC'd by InterBioScreen
20,24780245,1381590,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inconclusive,10,,,Fluorescent,44.6684,66.7843,,Complete curve; partial efficacy,-4.35,4.9549,0.9661,60.2332,-6.5511,1.2,0 0 0 0 0 0 0 0 0 0 0 0,64.1137,,,,,,,,,,-7.2686,-6.8738,-6.6991,-4.566,-4.6152,-2.7214,-2.4511,-2.4426,-16.3103,-6.4721,46.3208,64.1137,,,Complete curve; high efficacy,-4.85,3.99,0.9697,-112.74,7.3529,-1.1,0 0 0 0 0 0 0 0 0 0 0 1,2.4911,,,,,,,,,,4.745,7.3547,8.4223,3.9146,5.1008,3.6773,5.694,7.3547,-45.5516,-125.267,-99.6441,2.4911,,,QC'd by Asinex Ltd.
21,17514497,4337122,CC1CCCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4,Inconclusive,21,,,Inhibitor,15.8866,90.6364,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 1,5.7771,,,,,,,,,,8.3099,9.6325,12.2672,11.4385,10.5598,6.3701,6.2243,52.9573,-7.9112,-7.8459,3.8058,5.7771,,,Complete curve; partial efficacy,-4.799,2.7202,0.9752,-82.1364,8.5,-1.2,0 0 0 0 0 0 0 1 0 0 0 1,-35.1515,,,,,,,,,,9.8485,5.7576,10.303,16.5152,4.0909,9.3939,-1.5152,33.0303,-24.2424,-74.0909,-75.7576,-35.1515,,,QC'd by Life Chemicals
22,49667058,24761147,CC(=O)NC1C2=C(C=CC(=C2)Cl)N(C1=O)CCN3CCOCC3.Cl,Inconclusive,10,,,Quencher,251.189,34.857,,Single point of activity,-3.6,2.7202,0.8357,-41.2506,-6.3936,-3,0 0 0 0 0 0 0 0 0 0 0 0,-31.0421,,,,,,,,,,,,-8.4764,-7.4592,-7.3412,-5.5948,-8.6419,-7.6112,-6.4795,-8.3487,-7.4399,-3.6613,-6.249,-31.0421,Partial curve; high efficacy,-4.099,4.9549,0.9751,-110.753,-1.072,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-102.549,,,,,,,,,,-8.8456,4.4978,-5.6972,-4.048,2.5487,0.4498,0.1499,2.3988,4.6477,-4.3478,-18.5907,-102.549,,,QC'd by InterBioScreen
23,49643008,2876731,CCCC(=O)NC(C1=C(C2=C(C=CC=N2)C=C1)O)C3=CC=CC=C3Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,8.4841,,,,,,,,,,-5.4474,-4.4886,-3.4056,-1.7892,-0.23,-0.2859,-0.6591,0.2322,3.2528,11.0449,10.9556,8.4841,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 1,15.2924,,,,,,,,,,-9.1454,-4.048,0.4498,1.0495,6.2969,-0.5997,-4.6477,5.3973,4.3478,10.1949,6.4468,15.2924,,,QC'd by Asinex Ltd.
