PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000106889 uM,Activity at 0.0000320667 uM,Activity at 0.0000962002 uM,Activity at 0.0002886007 uM,Activity at 0.0008658020 uM,Activity at 0.00260 uM,Activity at 0.00779 uM,Activity at 0.015 uM,Activity at 0.032 uM,Activity at 0.075 uM,Activity at 0.150 uM,Activity at 0.246 uM,Activity at 0.492 uM,Activity at 0.984 uM,Activity at 1.967 uM,Activity at 3.937 uM,Activity at 7.870 uM,Activity at 15.74 uM,Activity at 31.48 uM,Activity at 62.95 uM,Activity at 125.9 uM,Activity at 191.7 uM,Activity at 383.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,24781802,1511049,CCC1=NN=C(S1)NC(=O)C2(COC(OC2)C3=CC=C(C=C3)OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-0.226,,,,,,,,,,1.4989,0.7111,-0.9899,3.5465,7.1987,4.9816,5.0702,4.9325,2.944,3.5821,6.3073,-0.226,,,QC'd by Chem Div
57,26754297,6604661,CN1[C@@H](CCC[C@H]1CC(=O)C2=CC=CC=C2)C[C@H](C3=CC=CC=C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,,0.991,,,,,,,,,,,,-0.6809,-1.817,-2.6573,1.9644,-0.7764,0.1475,0.038,1.8965,-0.1902,-0.5678,0.8722,0.991,QC'd by Timtec
58,49665152,16423218,C1COCCN1CCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.5737,,,,,,,,,,,,-0.0199,0.613,1.0791,3.1793,0.1848,-0.6701,-0.1963,1.355,0.2361,1.5939,-1.5045,-2.5737,QC'd by InterBioScreen
59,17412585,1346958,CC1=C(C=CC(=C1O)C2=NNC(=C2OC3=CC=CC=C3)C)OCC4=CN(N=C4)C5=CC=CC=C5,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-21.429,,,,,,,,,,1.8379,7.1565,6.0674,6.7405,10.9979,3.6382,9.0454,0.857,-0.1201,-2.4172,-13.9986,-21.429,,,QC'd by DPISMR
60,50112964,10040286,C1C2C3C4C1C5C2C6C3C4C5(N6CCC7=CC(=CC=C7)F)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 1 1 0 0 0,2.7175,,,,,,,,,,-2.0352,-1.2095,1.7532,2.0083,5.884,4.1564,5.9623,-2.4634,0.1305,7.1943,9.6208,2.7175,,,QC'd by null
61,17409845,1475304,CN(C)/C=C(/C(=O)C1=CC=C(C=C1)Cl)\S(=O)(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,1.5393,,,,,,,,,,,,-0.5142,1.0402,2.3483,0.9231,-0.4786,0.543,0.9672,-0.2197,0.5119,-1.3475,0.4386,1.5393,QC'd by DPISMR
62,17407039,1808607,CC1=C(C(=CC=C1)NC(=O)CSC2=NC3=C(S2)C=C(C=C3)NC(=O)CSC4=NN=NN4C5=CC=CC=C5)C,Inconclusive,20,,,Inhibitor,50.0836,35.9028,,Partial curve; partial efficacy,-4.3003,2.2526,0.9493,-37.4028,-1.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-34.3961,,,,,,,,,,-1.2777,-4.1145,-2.8521,-1.4691,-5.4118,0.3487,-2.393,3.3693,-2.7783,-17.6311,-27.0902,-34.3961,,,QC'd by DPISMR
63,49677209,4858342,CCCCN1C2=C(C=C(C=C2)S(=O)(=O)N)N=C1SCC(=O)NCC3=CC(=C(C=C3)OC)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.8355,,,,,,,,,,,,-3.8556,-6.8011,-6.4469,-5.1629,-7.3512,-5.5182,-8.7477,-5.9037,-4.9734,-4.8356,-6.8811,-4.8355,QC'd by Enamine
64,24781207,2469388,C1=CC=C(C(=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)NC4=NN=C(S4)SCC5=CC=C(C=C5)F)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-21.5767,,,,,,,,,,,,-2.0354,-2.8116,-4.0374,-2.3762,-5.2279,-3.7891,-3.5316,-4.0882,-2.6055,-10.2062,-8.0984,-21.5767,QC'd by Enamine
65,17503767,4435982,COC1=C(C(=CC=C1)OC)C(=O)NC(=S)NC2=C(C=C3C4=CC=CC=C4OC3=C2)OC,Inconclusive,27,,,Inhibitor,630.957,91.2459,,Partial curve; partial efficacy,-3.2,1.21,0.9731,-100,-8.7541,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-43.0043,,,,,,,,,,,,-9.4271,-9.1275,-7.7118,-10.1437,-10.4588,-8.0432,-8.6429,-10.6943,-9.8044,-14.0212,-28.1269,-43.0043,QC'd by InterBioScreen
66,49729254,24792594,CNC[C@H](CC1CCCCC1)NC[C@H](CC2=CC=CC=C2)NCCC34CC5CC(C3)CC(C5)C4,Active,44,,,Inhibitor,251.189,96.1401,,Partial curve; partial efficacy,-3.6,1.8265,0.9841,-99.1863,-3.0461,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-75.1411,,,,,,,,,,,,-0.4837,-1.5594,-1.0471,-5.8045,-2.6017,-3.3938,-2.8382,-6.0591,-8.4243,-18.4641,-35.3951,-75.1411,QC'd by Richard A Houghten - Torrey Pines Institute for Molecular Studies - MLI PSL
67,50111921,24867930,CC1CC=CC2C1C(=O)N(C2C3=C(C=CC(=C3)C)F)CC4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.6485,,,,,,,,,,1.6054,-2.1462,-2.5346,-2.1347,-3.9407,-0.8351,0.1846,-1.0185,0.5702,2.2641,-1.0138,-0.6485,,,QC'd by KUCMLD
68,49724887,16244845,CCCN1CCN(CC1)CC(COC(C2=CC=C(C=C2)OC)C3=CC=C(C=C3)OC)O.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.0456,,,,,,,,,,-4.0875,-10.2365,-33.4403,-0.7127,-4.2905,32.3512,-3.8354,-10.7985,-6.6117,-0.8934,-3.7175,-2.0456,,,QC'd by Enamine
69,49665197,2936192,CC1=C(C(=O)NN1)C(C2=C(C=CC(=C2)OC)OC)C3=C(NNC3=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0,-8.5754,,,,,,,,,,,,-12.7238,-13.4439,-12.2669,-12.1807,-11.1047,-12.749,-12.9801,-13.1731,-13.728,-15.1833,-12.6348,-8.5754,QC'd by Asinex Ltd.
70,26670148,16717706,C[C-]1[C-]([C-]([C-]([C-]1C)C)C)C.C1CCN(C1)C2=CC=NC3=CC=C[C-]32.[Fe],Inconclusive,10,,,Activator,251.189,115.8,,Partial curve; high efficacy,-3.6,1.9673,0.9835,116.656,0.8564,2.1,0 0 0 0 0 0 0 0 0 0 0 0,88.376,,,,,,,,,,,,1.0176,1.1005,1.48,2.2423,-0.2354,0.6016,1.6689,4.1212,3.867,18.2831,36.0016,88.376,QC'd by null
71,24824264,16195689,C1CCC(CC1)CCC(=O)NCCN2[C@@H](CN3C2=NC[C@@H]3CC4=CC=C(C=C4)O)CC5=CC=C(C=C5)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-15.3856,,,,,,,,,,,,-9.1594,-8.7689,-10.6809,-7.0373,-8.4584,-9.4793,-8.9128,-8.9917,-9.8248,-7.9178,-10.511,-15.3856,QC'd by Richard A. Houghten - Torrey Pin
72,49645883,8015998,C[C@@H](C(=O)O)NC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,Active,42,,,Inhibitor,79.3772,103.911,,Partial curve; high efficacy,-4.1003,3.5722,0.9883,-102.868,1.0424,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-95.2484,,,,,,,,,,-4.0783,-0.0563,1.2941,-0.4354,8.9925,0.3534,1.0111,4.565,-0.8578,-8.5431,-48.8888,-95.2484,,,QC'd by InterBioScreen
73,24782257,3193431,COC1=CC=C(C=C1)CN2C(=NN=N2)C(C3=CC4=C(C=C3)N=CC=C4)N5CCN(CC5)C6CCCCC6,Inconclusive,27,,,Inhibitor,630.957,96.615,,Partial curve; partial efficacy,-3.2,1.21,0.9843,-100,-3.385,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-37.6554,,,,,,,,,,,,-4.767,-2.9559,-4.3875,-3.5653,-2.8209,-3.9641,-3.7889,-3.3329,-7.3663,-10.9297,-25.2453,-37.6554,QC'd by Asinex Ltd.
74,49665367,24761084,CN1CCN(CC1)CC(=O)NC2=C(C=CC=C2OC)OC.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 1,-0.577,,,,,,,,,,5.3134,4.1837,0.9242,5.7911,2.5909,8.0441,9.6988,6.6859,8.6316,7.9939,5.6805,-0.577,,,QC'd by Asinex Ltd.
75,24793233,893158,CC1=CC=CC=C1C2=NNC(=S)N2C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 0,6.0044,,,,,,,,,,-2.1532,2.914,2.0487,11.1296,4.8929,6.5739,10.4438,15.2531,6.3137,7.0163,10.5595,6.0044,,,QC'd by ChemBridge
76,49675101,2333509,C1=CC=C(C=C1)C2=CC=C(C=C2)/C(=C/C3=CC=C(C=C3)F)/C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-11.4475,,,,,,,,,,0.606,1.2941,5.6279,4.5425,-0.1915,1.9751,4.3455,6.877,1.4059,7.2403,-0.7781,-11.4475,,,QC'd by Enamine
77,26665545,765305,C1CNC2=C(C1=O)C=C(C=C2Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,4.842,,,,,,,,,,-0.9085,6.5095,5.1307,5.1505,4.2719,-1.103,6.7958,9.0557,3.5109,-1.1152,4.9903,4.842,,,QC'd by null
78,865591,666850,CC1=C(C(=O)N2C(=N1)N=C(N2)C3=CC=C(C=C3)OC)CC(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 0,-3.4201,,,,,,,,,,,,0.1531,2.1851,0.6466,0.1539,-1.5059,-3.306,-0.6865,-3.1137,-3.2792,-3.5893,-3.8021,-3.4201,QC'd by DPISMR
79,17409014,1207591,C1=CC(=CN=C1)C(=O)NC(=S)NC2=NC(=CS2)C3=CC=C(C=C3)Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-24.2244,,,,,,,,,,3.7636,-2.8838,-1.9008,8.9355,-1.2345,3.3936,-0.8923,-1.7773,-0.0521,-4.6911,-15.414,-24.2244,,,QC'd by DPISMR
80,29215493,10291556,CC1=CN=C(S1)NC(=O)C2C(=O)C3=CC=CC=C3S(=O)(=O)N2C,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-8.6993,,,,,,,,,,,,-3.0973,0.3038,-1.1224,-3.1982,0.0321,1.8287,0.9098,-1.4056,-0.3787,1.3978,-3.5331,-8.6993,QC'd by Bionet
81,29215400,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,Inactive,0,,,Inactive,,,,,,,,,,4,,2.6925,,,,,,,,,,,,1.0724,1.7574,-1.7703,1.623,-0.1381,2.536,1.3652,3.4666,1.6508,3.1621,2.6456,2.6925,QC'd by AKos
82,17515774,4641538,CC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C54,Inconclusive,21,,,Inhibitor,63.0515,44.3503,,Partial curve; partial efficacy,-4.2003,0.9,0.9474,-43.3503,1,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-32.7919,,,,,,,,,,1.2646,-2.16,0.4378,1.6445,1.9418,1.7334,-3.8032,-7.2238,-13.8725,-16.2642,-18.6399,-32.7919,,,QC'd by Life Chemicals
83,49675777,3791920,CCN1C=NC2=C1C(=O)N(C(=O)N2CC3=CC=CC=C3)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.5584,,,,,,,,,,,,1.4048,0.8067,1.8717,2.8786,0.7761,-1.3119,-0.5916,-1.0204,-0.0462,-0.4328,-0.4735,-1.5584,QC'd by Enamine
84,49679362,24762035,CCOC(=O)N1CCN(CC1)CCC(=O)C2=CC=C(C=C2)Br.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,3.9252,,,,,,,,,,3.3234,13.5582,7.5619,8.9393,9.7245,5.8854,8.8686,10.7868,6.1455,1.9248,5.964,3.9252,,,QC'd by Chem Div
85,17387822,11948867,CN(C)CC1=C(OC2=CC=CC=C2C1C3=CC=CC=C3)C4=CC=C(C=C4)OC.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,1.7826,,,,,,,,,,5.554,4.0115,5.9421,3.1637,5.492,8.3286,3.7876,10.3466,4.474,8.6456,4.0547,1.7826,,,QC'd by DPISMR
86,49726423,6487885,COC1=CC=C(C=C1)NC(=O)NC2(CCCCC2)C(=O)N3CCOCC3,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.374,,,,,,,,,,0.3577,4.1491,9.4046,7.2973,2.9028,5.2847,2.0921,-0.6984,4.84,7.9764,5.9133,-4.374,,,QC'd by Asinex Ltd.
87,49679509,22650,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)C(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,4.6736,,,,,,,,,,1.0251,5.9695,1.1728,-2.4827,9.9217,-1.8803,7.6079,2.1893,-1.139,4.9754,4.4151,4.6736,,,QC'd by Chem Div
88,24786520,751726,CCOC(=O)CN1C2=CC=CC=C2N3C1=NC(=O)C(=N3)CCC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.0741,,,,,,,,,,7.4465,-7.0296,2.5602,9.2746,1.579,4.455,10.3274,2.1409,4.8098,4.1829,-0.3049,-0.0741,,,QC'd by ChemBridge
89,49649122,16453817,CC1=CC(=C2C(=C1)OC(=CC2=O)C(=O)NCC3=CC=CC=C3)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-13.3864,,,,,,,,,,,,-4.9131,-8.575,-8.9744,-7.0006,-12.0803,-10.1593,-12.1213,-12.3303,-11.4282,-10.6375,-12.7694,-13.3864,QC'd by Chem Div
90,26748133,5318569,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)OC,Inconclusive,26,,,Inhibitor,398.107,95.117,,Partial curve; partial efficacy,-3.4,2.5334,0.9838,-100,-4.883,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-54.0438,,,,,,,,,,,,-3.6212,-6.3163,-4.4416,-3.1624,-5.1393,-5.5735,-4.6682,-7.1328,-4.7858,-4.6349,-19.2829,-54.0438,QC'd by Microsource
91,26664762,292106,C1C(=O)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=N3)CC(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,1.0116,,,,,,,,,,,,-3.5317,1.4994,0.353,0.7328,1.3026,3.2108,3.7147,1.0996,3.6213,2.2531,3.0722,1.0116,QC'd by NCI Chemotherapeutic Agents Repository
92,22410250,6906566,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC4=CC=CC=C4O3)/C=N/NC(=O)C5=CC=CC=C5Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-16.3411,,,,,,,,,,6.8327,5.4869,2.6949,9.9657,3.1043,6.0091,8.4306,9.7424,7.0763,1.5882,-6.6412,-16.3411,,,QC'd by Enamine
93,22401012,4214141,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)NC3=C(C=C(C=C3)Cl)Cl)N4CCCCC4,Inconclusive,21,,,Inhibitor,56.1948,49.3719,,Partial curve; partial efficacy,-4.2503,1.2475,0.9168,-42.1239,7.248,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-31.7733,,,,,,,,,,13.1868,1.3118,3.7825,7.2396,12.2169,9.3778,2.3649,-2.8869,-2.74,-7.5517,-23.4953,-31.7733,,,QC'd by Enamine
94,49816293,1856310,CC(C)C1=CC=C(C=C1)/C=C/C(=O)NC(=S)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-24.4362,,,,,,,,,,0.1117,0.1417,4.9422,-0.3684,4.4448,4.3239,0.3045,-3.0378,-6.5867,-15.7375,-12.327,-24.4362,,,QC'd by ChemBridge
95,49646104,24747418,CCOC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-12.1332,,,,,,,,,,5.3179,-1.0534,4.9451,-0.2648,0.2529,4.1968,3.6483,-1.9068,-1.0301,-3.4785,-4.9695,-12.1332,,,QC'd by InterBioScreen
96,49649498,5299607,CC1=CC(=O)N(C2=C1C=C(C=C2)S(=O)(=O)NC3=C(C(=CC=C3)F)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,7.5192,,,,,,,,,,1.3524,1.4219,2.9056,10.0787,8.2639,4.821,6.4439,6.4582,1.6936,2.1693,0.3755,7.5192,,,QC'd by Chem Div
97,49665366,24761083,CN1CCN(CC1)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)N(C)C.C(=O)(C(=O)O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,0.2389,,,,,,,,,,-8.4024,1.5148,-1.6254,3.0708,2.9558,2.1896,6.5528,8.0852,2.5099,7.6806,6.71,0.2389,,,QC'd by Asinex Ltd.
98,24799896,16191566,CCN(CCN1C=CC=N1)CC2=CC=CC=C2OCC(CN3CCC4=CC=CC=C4C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.799,,,,,,,,,,5.4236,4.3598,1.9594,7.8121,-0.4105,1.5074,8.0343,5.1905,4.5797,1.8551,0.7319,-6.799,,,QC'd by ChemBridge
99,49644438,135468594,CC1=C2C(=CC=C1)C(=CC(=N2)C)N/N=C/C3=CC=C(C=C3)O,Inconclusive,20,,,Inhibitor,316.228,97.5437,,Single point of activity,-3.5,3.5722,0.9612,-100,-2.4563,-3,0 0 0 0 0 0 0 0 0 0 0 0,-60.11,,,,,,,,,,,,-0.8594,-2.9389,-1.4806,-4.1799,-2.5685,-5.1008,-2.1029,-3.7918,-4.5802,-4.1332,-9.9214,-60.11,QC'd by Asinex Ltd.
100,49647219,442985,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1,Inactive,0,,,Inactive,,,,,,,,,,4,,3.3885,,,,,,,,,,6.1216,3.3593,4.7481,2.6289,-2.2092,9.1101,0.8787,7.7365,6.0173,4.7328,6.2767,3.3885,,,QC'd by InterBioScreen
101,11114291,6604950,C1C2=CC=C(CNC3=CC=[N+](CC4=CC=CC(=C4)C[N+]5=CC=C(N1)C6=CC=CC=C65)C7=CC=CC=C37)C=C2.C(=O)(C(F)(F)F)[O-].C(=O)(C(F)(F)F)[O-],Active,45,,,Inhibitor,281.838,112.399,,Partial curve; high efficacy,-3.55,3.2475,0.9921,-114.616,-2.217,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-86.8305,,,,,,,,,,,,0.3394,-0.8756,-0.0671,-1.2297,0.092,-2.5531,-2.1493,-2.2637,-6.4848,-8.8607,-25.8733,-86.8305,QC'd by Tocris
102,24821927,54679723,C1=CC=C(C(=C1)CN2C3=CC=CC=C3C(=CC2=O)O)F,Inactive,0,,,Inactive,,,,,,,,,,4,,0.6171,,,,,,,,,,0.1714,0.3392,-0.7861,1.0804,4.3285,-0.386,4.3546,-1.8903,4.9586,6.2817,-4.3034,0.6171,,,QC'd by Asinex Ltd.
103,14745133,9551967,C1=CC=C(C=C1)C2=NC(=C(N=N2)C3=CC=C(C=C3)Cl)C4=CNC5=CC=CC=C54,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-19.6172,,,,,,,,,,3.2195,2.3753,8.6865,10.3844,11.4664,14.3343,13.9788,5.3024,5.3018,-0.3946,-11.3957,-19.6172,,,QC'd by Specs
104,17505338,1107365,C1=CSC(=C1)C(=O)NC2=CC=C(C=C2)OC3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)O,Inconclusive,21,,,Inhibitor,79.3772,58.9183,,Partial curve; partial efficacy,-4.1003,3.99,0.9493,-54.8155,4.1027,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-57.0995,,,,,,,,,,0.6639,2.6463,10.846,-0.3657,-1.1778,6.0276,7.4466,3.7838,5.3021,-1.0047,-18.6834,-57.0995,,,QC'd by Asinex Ltd.
105,7977499,1323703,CC1(CN=C(S1)N2CCN(CC2)C3=C4C5=C(CCCC5)SC4=NC=N3)C,Active,80,,,Inhibitor,28.1641,94.4722,,Complete curve; high efficacy,-4.5503,2.0937,0.9965,-94.0491,0.4231,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.8613,,,,,,,,,,-0.7063,-1.3206,1.9072,0.0662,0.7626,1.0641,-2.4982,-4.5165,-31.2222,-62.0329,-80.3739,-93.8613,,,QC'd by DPISMR
106,17512765,3431642,C1=CC=C2C(=C1)C=C(C(=N)O2)C3=NC(=CS3)C4=CC=C(C=C4)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-5.5202,,,,,,,,,,7.2994,6.4779,3.3018,4.6622,1.4872,1.007,6.1654,5.7695,2.391,6.2017,-2.3619,-5.5202,,,QC'd by InterBioScreen
107,26753749,6293,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,Inconclusive,10,,,Activator,177.828,82.2963,,Partial curve; high efficacy,-3.75,2.3332,0.9604,83.0043,0.708,2.1,0 0 0 0 0 0 0 0 0 0 0 0,86.4629,,,,,,,,,,,,0.4678,0.8619,-0.2973,0.2929,-1.4298,-2.0351,1.468,4.7293,7.5136,18.4474,40.265,86.4629,QC'd by Timtec
108,17514493,4620915,CC1CCCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=CC=C3C4=NC5=CC=CC=C5N4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-17.5361,,,,,,,,,,,,0.2492,1.8907,0.7989,2.5719,5.5102,2.9136,3.562,1.7355,-0.1107,-4.2881,-7.5119,-17.5361,QC'd by Life Chemicals
109,49668847,24761416,COC1=CC=C(C=C1)OCCCN2C=CN=C2.Cl,Inconclusive,10,,,Activator,89.0627,38.7694,,Single point of activity,-4.0503,4.4495,0.8967,34.4292,-4.3402,3,0 0 0 0 0 0 0 0 0 0 0 0,40.4141,,,,,,,,,,-6.8349,-4.4167,-5.977,-5.209,-1.3577,-2.3102,0.2099,-3.6899,-0.2673,-9.4443,4.8621,40.4141,,,QC'd by Chem Div
110,26664798,93572,C1=CC=C2C(=C1)C=CC(=C2N=NC3=NC=CS3)O,Inactive,0,,,Inactive,,,,,,,,,,4,,12.5869,,,,,,,,,,3.6157,2.2354,7.7619,1.822,4.254,3.8414,2.4015,-2.0094,8.9121,4.4884,10.4428,12.5869,,,QC'd by NCI Chemotherapeutic Agents Repository
111,26749574,3938139,COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 0,6.3623,,,,,,,,,,,,-2.1965,-1.5618,-0.7721,-0.0945,1.4274,-0.7421,-0.9567,2.7281,0.3723,0.2554,2.1406,6.3623,QC'd by Microsource
