PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
34,164136619,71562540,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.025,IC50,=,25,nM,
35,164136652,71562542,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)N)CCCN=C(N)N,Active,,,,0.197,Ki,=,197,nM,
36,164136652,71562542,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)N)CCCN=C(N)N,Active,,,,0.665,IC50,=,665,nM,
37,164136653,71562655,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCCC(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)CCCN=C(N)N,Active,,,,1.84,Ki,=,1840,nM,
38,164136653,71562655,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCCC(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)CCCN=C(N)N,Active,,,,6.45,IC50,=,6450,nM,
39,164139431,71562786,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,0.0555,Ki,=,55.5,nM,
40,164139431,71562786,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,0.194,IC50,=,194,nM,
41,164139432,71562904,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,1.66,Ki,=,1660,nM,
42,164139432,71562904,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N,Active,,,,6.32,IC50,=,6320,nM,
43,164139462,71563284,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)F)CCCN=C(N)N,Active,,,,0.0068,Ki,=,6.8,nM,
44,164139462,71563284,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)F)CCCN=C(N)N,Active,,,,0.0251,IC50,=,25.1,nM,
45,164142186,71563033,CC1=CC(=CC=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N,Active,,,,0.332,Ki,=,332,nM,
46,164142186,71563033,CC1=CC(=CC=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N,Active,,,,1.15,IC50,=,1150,nM,
47,164142187,71563152,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)C(F)(F)F)CCCN=C(N)N,Active,,,,0.725,Ki,=,725,nM,
48,164142187,71563152,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)C(F)(F)F)CCCN=C(N)N,Active,,,,2.52,IC50,=,2520,nM,
49,164142215,71561462,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC(=C5)F)F)CCCN=C(N)N,Active,,,,0.0047,Ki,=,4.7,nM,
50,164142215,71561462,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC(=C5)F)F)CCCN=C(N)N,Active,,,,0.0185,IC50,=,18.5,nM,
51,164144990,71563151,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5Cl)CCCN=C(N)N,Active,,,,0.03,Ki,=,30,nM,
52,164144990,71563151,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5Cl)CCCN=C(N)N,Active,,,,0.112,IC50,=,112,nM,
53,164145015,71561581,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC(=C5)F)F)CCCN=C(N)N,Unspecified,,,,143,Ki,=,143000,nM,Outside typical range
54,164145016,71719785,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)ON)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)C,Unspecified,,,,41.8,Ki,=,41800,nM,
55,164145016,71719785,C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)ON)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)C,Unspecified,,,,140,IC50,=,140000,nM,Outside typical range
56,164145017,71719786,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.0238,Ki,=,23.8,nM,
57,164145017,71719786,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.0781,IC50,=,78.1,nM,
58,164145018,71562653,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,3.32,Ki,=,3320,nM,
59,164145018,71562653,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Unspecified,,,,11,IC50,=,11000,nM,
60,164145019,71719787,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.0425,Ki,=,42.5,nM,
61,164145019,71719787,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.144,IC50,=,144,nM,
62,164147776,71562905,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5CCCCC5)CCCN=C(N)N,Active,,,,0.862,Ki,=,862,nM,
63,164147776,71562905,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5CCCCC5)CCCN=C(N)N,Active,,,,3.33,IC50,=,3330,nM,
64,164147808,71563283,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)C6=CC=CC=C6)CCCN=C(N)N,Unspecified,,,,14,Ki,=,14000,nM,
65,164147808,71563283,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC=C5)C6=CC=CC=C6)CCCN=C(N)N,Unspecified,,,,39.4,IC50,=,39400,nM,
66,164147809,71561461,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)F)CCCN=C(N)N,Active,,,,0.123,Ki,=,123,nM,
67,164147809,71561461,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)F)CCCN=C(N)N,Active,,,,0.422,IC50,=,422,nM,
68,164147810,71720397,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)O,Active,,,,0.0029,Ki,=,2.9,nM,
69,164147810,71720397,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)O,Active,,,,0.0114,IC50,=,11.4,nM,
70,164147811,71562437,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.0175,Ki,=,17.5,nM,
71,164147811,71562437,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N,Active,,,,0.0633,IC50,=,63.3,nM,
