PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,194147275,46926616,C1CC1C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Unspecified,,,,11.2,IC50,=,11200,nM,
7,194154157,49791889,C1CCC(C1)[C@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,,0.529,IC50,=,529,nM,
8,194154158,73297282,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC(=CC=C4)Cl)O,Active,,,,0.226,IC50,=,226,nM,
9,194154159,73297286,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=NC=CS4)O,Active,,,,0.242,IC50,=,242,nM,
10,194154160,46172895,C1CN(CCC1C(C2=CC=CC=C2)C3=CC=CC=C3)CCCOC4=CC=C(C=C4)C#N,Unspecified,,,,205,IC50,=,205000,nM,Outside typical range
11,194161157,46926632,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,,0.39,IC50,=,390,nM,
12,194161158,71777742,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,,0.067,IC50,=,67,nM,
13,194161159,71777747,C1CCC(C1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,,0.056,IC50,=,56,nM,
14,194161160,71777749,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)S(=O)(=O)N)(C4=CC=CC=N4)O,Active,,,,0.114,IC50,=,114,nM,
15,194168064,46926634,C1CCC(CC1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,,1.7,IC50,=,1700,nM,
16,194168065,44543700,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CCCOC4=CC=C(C=C4)C#N,Unspecified,,,,10.8,IC50,=,10800,nM,
17,194174867,46926612,C1CN(CCC1C(C2=CC=CC=C2)O)CCCOC3=CC=C(C=C3)C#N,Unspecified,,,,234,IC50,=,234000,nM,Outside typical range
18,194174868,49791894,C1CC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O,Active,,,,4,IC50,=,4000,nM,
19,194174869,71777750,C1CN(CCC1C(C2=CC(=CC=C2)F)(C3=CC=CC=N3)O)CCCOC4=CC=C(C=C4)S(=O)(=O)N,Active,,,,0.148,IC50,=,148,nM,
20,194174870,71777739,C1CCC(C1)[C@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=N4)O,Active,,,,0.195,IC50,=,195,nM,
21,194175551,16286864,C1CN(CCN1CC(COC2=CC=C(C=C2)C#N)O)C(C3=CC=CC=C3)C4=CC=CC=C4,Unspecified,,,,77,IC50,=,77000,nM,
22,194181753,46926614,CCCCC(C1CCN(CC1)CCCOC2=CC=C(C=C2)C#N)(C3=CC=CC=C3)O,Unspecified,,,,15.3,IC50,=,15300,nM,
23,194181754,49791892,CC(C)C(C1CCN(CC1)CCCOC2=CC=C(C=C2)C#N)(C3=CC=CC=C3)O,Active,,,,4.1,IC50,=,4100,nM,
24,194181755,73297278,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC(=CC(=C4)F)F)O,Active,,,,0.436,IC50,=,436,nM,
25,194181756,71777738,C1CN(CCC1[C@@](C2=CC(=CC=C2)F)(C3=CC=CC=N3)O)CCCOC4=CC=C(C=C4)C#N,Active,,,,0.09,IC50,=,90,nM,
26,194181757,71777745,C1CN(CCC1[C@](C2=CC(=CC=C2)F)(C3=CC=CC=N3)O)CCCOC4=CC=C(C=C4)C#N,Active,,,,1.4,IC50,=,1400,nM,
27,194188578,73297279,C1CCC(C1)C(C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=N4)O,Active,,,,0.302,IC50,=,302,nM,
28,194188579,71777743,C1CN(CCC1C(C2=CC(=CC=C2)F)(C3=CC=CC=N3)O)CCCOC4=CC=C(C=C4)C#N,Active,,,,0.225,IC50,=,225,nM,
29,194188580,71777746,C1CCC(C1)[C@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)N,Active,,,,0.081,IC50,=,81,nM,
