PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
42,440151377,138618542,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.0046,Ki,=,4.6,nM
43,440156629,132104449,CO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,4.9,Ki,=,4900,nM
44,440156629,132104449,CO[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Unspecified,,,,15.3,IC50,=,15300,nM
45,440157118,145397301,CN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.011,IC50,=,11,nM
46,440157118,145397301,CN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.002,Ki,=,2,nM
47,440164561,132104363,C1CCC(C1)C2(CN(CC3=CC=CC=C32)C4CCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.009,IC50,=,9,nM
48,440164561,132104363,C1CCC(C1)C2(CN(CC3=CC=CC=C32)C4CCC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.002,Ki,=,2,nM
49,440168038,138618502,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCCN(C5)C6=CC=C(C=C6)C#N,Active,,,,6.6,IC50,=,6600,nM
50,440168038,138618502,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CCCN(C5)C6=CC=C(C=C6)C#N,Active,,,,2.13,Ki,=,2130,nM
51,440173060,132104738,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4COC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.025,IC50,=,25,nM
52,440173060,132104738,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4COC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.007,Ki,=,7,nM
53,440173919,132104133,C1CCC(C1)C(C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,3,IC50,=,3000,nM
54,440173919,132104133,C1CCC(C1)C(C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.96,Ki,=,960,nM
55,440176006,132104734,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)C5CCN(CC5)C6=CC=C(C=C6)C#N,Active,,,,0.65,IC50,=,650,nM
56,440176006,132104734,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)C5CCN(CC5)C6=CC=C(C=C6)C#N,Active,,,,0.207,Ki,=,207,nM
57,440190288,155553832,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCCOC5=CC=C(C=C5)C#N,Active,,,,5,IC50,=,5000,nM
58,440190288,155553832,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCCCOC5=CC=C(C=C5)C#N,Active,,,,1.3,Ki,=,1300,nM
59,440194421,132104365,CC(C)N1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.007,IC50,=,7,nM
60,440194421,132104365,CC(C)N1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.0014,Ki,=,1.4,nM
61,440202229,155558606,CC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.102,IC50,=,102,nM
62,440202229,155558606,CC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.032,Ki,=,32,nM
63,440207621,146512357,COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.029,IC50,=,29,nM
64,440207621,146512357,COC(=O)N[C@H]1CCC[C@@H]1[C@@](C#N)(C2CCN(CC2)CC3CN(C3)C4=CC=C(C=C4)C#N)C5=CC=CC=C5,Active,,,,0.0085,Ki,=,8.5,nM
65,440208765,132104582,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCC7,Active,,,,0.036,IC50,=,36,nM
66,440208765,132104582,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7CCC7,Active,,,,0.011,Ki,=,11,nM
67,440211575,132090541,CCN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.006,IC50,=,6,nM
68,440211575,132090541,CCN1CC2=CC=CC=C2C(C1)(C3CCCC3)C4CCN(CC4)CC5CN(C5)C6=CC=C(C=C6)S(=O)(=O)C7=CC=NC=C7,Active,,,,0.001,Ki,=,1,nM
69,440212989,155562826,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCOC5=CC=C(C=C5)C#N,Active,,,,5.5,Ki,=,5500,nM
70,440212989,155562826,C1CCC(C1)C2(C3=CC=CC=C3CCN2)C4CCN(CC4)CCOC5=CC=C(C=C5)C#N,Unspecified,,,,21.2,IC50,=,21200,nM
71,440218121,132104382,C1CCC(CC1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)C5(C6=CC=CC=C6CCN5)C7CCCC7,Active,,,,0.01,IC50,=,10,nM
72,440218121,132104382,C1CCC(CC1)S(=O)(=O)C2=CC=C(C=C2)N3CC(C3)CN4CCC(CC4)C5(C6=CC=CC=C6CCN5)C7CCCC7,Active,,,,0.0024,Ki,=,2.4,nM
73,440228834,132104372,CS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,0.143,IC50,=,143,nM
74,440228834,132104372,CS(=O)(=O)C1=CC=C(C=C1)N2CC(C2)CN3CCC(CC3)C4(C5=CC=CC=C5CCN4)C6CCCC6,Active,,,,0.045,Ki,=,45,nM
75,440229248,132104736,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4CC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.007,IC50,=,7,nM
76,440229248,132104736,C1CCC(C1)C2(CN(CC3=CC=CC=C32)CC4CC4)C5CCN(CC5)CC6CN(C6)C7=CC=C(C=C7)S(=O)(=O)C8=CC=NC=C8,Active,,,,0.0014,Ki,=,1.4,nM
